gt_title,review,gt_sentiment,gt_score
Housefull 4,"Four lifetimes of bad comedy. The reincarnation gimmick is tired, the jokes are juvenile, and the talented cast is completely wasted. Akshay Kumar on autopilot in a franchise that should have ended long ago.",negative,14
Piku,"A slice-of-life gem about a father-daughter relationship centered around constipation — and it works beautifully. Amitabh Bachchan and Deepika Padukone share wonderful chemistry. Shoojit Sircar keeps it real and tender.",positive,88
Jagga Jasoos,"Visually inventive but narratively disjointed. Ranbir Kapoor tries his best, but the musical adventure format doesn't sustain over two and a half hours. An ambitious experiment that doesn't quite come together.",negative,30
Rang De Basanti,"Starts as a carefree college film and transforms into a powerful political statement. Aamir Khan leads an ensemble that perfectly captures youthful idealism turning to righteous anger. The climax is devastating.",positive,90
Kalank,"A lavish period drama with no emotional depth. The star-studded cast looks pretty but has nothing meaningful to do. The love story between Alia Bhatt and Varun Dhawan lacks any real spark or chemistry.",negative,20
Bajrangi Bhaijaan,"Salman Khan in his most endearing role. The journey of reuniting a mute Pakistani girl with her family is genuinely touching. Kabir Khan balances humor and emotion with a steady, confident hand.",positive,87
Laal Singh Chaddha,"A misguided remake of Forrest Gump that loses everything that made the original special. Aamir Khan's accent is distracting, the adaptation of historical events feels forced, and the emotional beats fall flat.",negative,22
Taare Zameen Par,"A deeply affecting film about dyslexia and the education system's failure to nurture different kinds of intelligence. Aamir Khan's direction is sensitive and Darsheel Safary gives one of the best child performances ever.",positive,93
Shaandaar,"Alia Bhatt and Shahid Kapoor can't save this destination wedding disaster. The insomnia subplot goes nowhere, the comedy misfires constantly, and even the music — usually a Bollywood safety net — is forgettable.",negative,16
Chak De India,"Shah Rukh Khan at his restrained best. The women's hockey team story is uplifting without being saccharine. The final match sequence is pure adrenaline and the diversity of the team adds real texture to the narrative.",positive,92
Tevar,"Arjun Kapoor trying to channel Mahesh Babu's charm in this remake and failing spectacularly. The South Indian original's energy is completely lost. Sonakshi Sinha has nothing to do. A lifeless, uninspired effort.",negative,13
Udaan,"A raw, powerful coming-of-age drama about an abusive father and a son yearning for freedom. Vikramaditya Motwane's debut is restrained yet emotionally devastating. Rajat Barmecha is a revelation in the lead role.",positive,91
Radhe,"Salman Khan doing the bare minimum. The action is repetitive, the story is recycled from better films, and the pandemic-era release couldn't hide how outdated and formulaic the whole enterprise feels.",negative,11
Kapoor and Sons,"A family drama that feels achingly real. Every character is flawed and relatable. Fawad Khan, Sidharth Malhotra, and Alia Bhatt deliver nuanced performances, and the twist about the grandfather is genuinely surprising.",positive,89
Love Story 2050,"A sci-fi romance that looks like a bad video game. Priyanka Chopra tries, but the futuristic Mumbai is laughable, the love story is flat, and the special effects are embarrassingly poor for a big-budget film.",negative,9
Masaan,"Neeraj Ghaywan's debut is a quiet masterpiece. Two stories of love and loss set against the ghats of Varanasi, told with incredible empathy. Vicky Kaushal announces his arrival as a major talent. Hauntingly beautiful.",positive,94
Himmatwala 2013,"Nobody asked for a remake of the 1983 original, and this proves why. Sajid Khan strips away any charm the original had and replaces it with crude humor. A deeply unpleasant viewing experience.",negative,8
Bajirao Mastani,"Sanjay Leela Bhansali at the peak of his visual grandeur. The love triangle is operatic and passionate. Ranveer Singh, Deepika Padukone, and Priyanka Chopra are magnificent. The war sequences are breathtaking.",positive,90
Jaan-E-Mann,"A muddled romantic comedy that wastes Salman Khan and Akshay Kumar. The New York setting adds nothing, the humor is stale, and the emotional payoff in the climax feels completely unearned.",negative,19
Article 15,"Ayushmann Khurrana delivers a measured performance in this hard-hitting social drama. Anubhav Sinha doesn't shy away from showing the ugly realities of caste discrimination. Essential viewing for every Indian.",positive,88
Joker 2012,"Akshay Kumar in an alien comedy that's neither funny nor thought-provoking. The political satire is surface-level, the alien subplot is bizarre, and the tonal shifts give you whiplash. A confusing mess.",negative,17
Swades,"An understated gem that grows on you with every viewing. Shah Rukh Khan plays an NRI who rediscovers India, and the film avoids every cliché you'd expect. The songs are soulful, and the message is earned, not preached.",positive,92
Welcome Back,"The original Welcome had a certain anarchic charm. This sequel has none of it. John Abraham and Shruti Haasan add nothing, the comedy is repetitive, and it runs at least 40 minutes too long.",negative,20
Lunchbox,"A beautiful film told through letters and lunch boxes. Irrfan Khan and Nimrat Kaur share a connection without ever meeting for most of the film. Ritesh Batra's debut is a masterclass in restrained storytelling.",positive,93
Ungli,"Emraan Hashmi leading a vigilante group sounds exciting but plays out as a dull, preachy affair. The message about corruption is hammered home with zero subtlety. Forgettable in every aspect.",negative,15
Black,"Amitabh Bachchan and Rani Mukerji are extraordinary in this tale inspired by Helen Keller. Bhansali's direction is theatrical but deeply emotional. The relationship between teacher and student is portrayed with rare sensitivity.",positive,89
Main Prem Ki Diwani Hoon,"Overacting taken to cosmic levels. Hrithik Roshan bounces off walls, Kareena Kapoor screams every line, and the film assaults your senses with its garish colors. A cautionary tale in excess.",negative,10
Neerja,"Sonam Kapoor's finest hour. The true story of Neerja Bhanot's bravery during a hijacking is told with gripping tension and genuine emotion. The climax will leave you in tears. A worthy tribute to a real hero.",positive,90
Main Tera Hero,"Varun Dhawan's energy can't compensate for a script that runs entirely on slapstick and objectification. David Dhawan's formula feels exhausted. Even as a timepass watch, it barely passes muster.",negative,18
Kahaani,"Vidya Balan is phenomenal as a pregnant woman searching for her husband in Kolkata. Sujoy Ghosh crafts a thriller with genuine twists that you never see coming. The Durga Puja backdrop adds rich atmosphere.",positive,91
Kaal,"A horror film set in a jungle that's more unintentionally funny than scary. The lion attacks look fake, the plot is predictable, and the item number in the middle of a survival story is peak absurd Bollywood.",negative,14
Tamasha,"Misunderstood on release, this is Imtiaz Ali's most personal work. Ranbir Kapoor's portrayal of a man trapped between who he is and who he's expected to be is heartbreaking. The Corsica act is cinema at its best.",positive,86
Tees Maar Khan,"Akshay Kumar and Farah Khan aiming for a heist comedy and delivering a chore. The humor is tone-deaf, the heist is idiotic, and the Sheila Ki Jawani song is literally the only memorable thing about the entire film.",negative,12
Padmaavat,"Bhansali's visual spectacle reaches new heights. Ranveer Singh is terrifying as Alauddin Khilji — a performance for the ages. The Jauhar sequence is hauntingly shot. Despite controversy, the film stands as a technical achievement.",positive,85
Humshakals,"An insult to comedy. Three sets of identical people, mistaken identities, and not a single genuine laugh. The performers look embarrassed. This is what happens when a script is replaced with a dare.",negative,5
Drishyam,"Ajay Devgn is superb as a father protecting his family with nothing but his knowledge of cinema. The cat-and-mouse game with Tabu keeps you gripped. The twist is satisfying and the tension never lets up.",positive,90
Players,"A remake of The Italian Job that forgets to bring the fun. The ensemble cast has no chemistry, the heists lack any real excitement, and the globe-trotting plot feels more like a vacation video than a thriller.",negative,13
Haider,"Vishal Bhardwaj's Hamlet in Kashmir is bold, brutal, and brilliant. Shahid Kapoor delivers the performance of his career. The political context adds layers that Shakespeare himself would have appreciated.",positive,92
Main Krishna Hoon,"A children's fantasy film with nightmarish production values. The VFX looks like a student project, the acting is stilted, and the religious messaging is ham-fisted. Not suitable for any age group.",negative,6
Rockstar,"Ranbir Kapoor's raw, unhinged performance as Jordan is magnetic. The music by A.R. Rahman is some of his best work. The second half meanders, but the emotional highs are so powerful that the flaws become forgivable.",positive,84
Ra.One,"Shah Rukh Khan's superhero ambition exceeds the execution. The VFX is impressive for its time, but the villain is generic, the humor is cringe-worthy, and the product placements are shamelessly in your face.",negative,28
Gangs of Wasseypur Part 2,"An extraordinary conclusion to the saga. Nawazuddin Siddiqui is magnetic as Faizal Khan. The violence is unflinching, the dark humor is razor-sharp, and the power dynamics are Shakespearean in their complexity.",positive,93
Helicopter Eela,"Kajol returns to the screen in a story about an overprotective mother. Unfortunately, the script is contrived, the humor is flat, and the message about helicopter parenting gets lost in melodrama.",negative,20
Raazi,"Alia Bhatt proves she's a generational talent. As an Indian spy married into a Pakistani military family, she conveys fear and resolve with equal conviction. Meghna Gulzar directs with surgical precision.",positive,90
The Xpose,"Himesh Reshammiya trying to be a murder-mystery leading man. The result is unintentionally hilarious. The period setting is unconvincing, the mystery has no suspense, and the songs are intrusive. So bad it's almost good.",negative,11
Sairat,"A Marathi masterpiece that transcends regional cinema. The love story across caste lines is told with raw authenticity. The twist ending is one of the most shocking in Indian cinema. Nagraj Manjule is a visionary.",positive,95
Phoonk,"Ram Gopal Varma's horror outing that's scarier in concept than execution. The pacing is glacial, the scares are predictable, and the black magic subplot is handled with the subtlety of a sledgehammer.",negative,16
Newton,"Rajkummar Rao is outstanding as a government clerk determined to conduct fair elections in conflict-torn Chhattisgarh. The dark comedy is sharp, and the political commentary is nuanced and never preachy.",positive,91
Jaani Dushman,"A supernatural revenge saga that's unintentionally one of the funniest films ever made. The snake transformation, the graveyard fights, and the dramatic dialogues — all hilariously awful. A cult classic of bad cinema.",negative,9
Andaz Apna Apna,"Pure comedic gold that was ahead of its time. Aamir Khan and Salman Khan's chemistry is electric. Every scene is quotable, every character is memorable. The film that defines Bollywood comedy for generations.",positive,96
Aap Ka Surroor,"Himesh Reshammiya in a nasal-voiced Eurotrip. The plot about being framed for murder is laughable, the romance is nonexistent, and the self-seriousness makes it even more painful to watch.",negative,7
Omkara,"Shakespeare's Othello reimagined in the political badlands of Uttar Pradesh. Ajay Devgn, Saif Ali Khan, and Kareena Kapoor are all phenomenal. Vishal Bhardwaj proves literary adaptation can be raw and visceral.",positive,91
Aag,"Ram Gopal Varma's remake of Sholay is a cinematic crime. Amitabh Bachchan as Babban is cringeworthy, the comedy falls flat, and the film disrespects the original at every turn. Perhaps the worst remake in Bollywood history.",negative,4
Vicky Donor,"A refreshingly original comedy about sperm donation handled with maturity and humor. Ayushmann Khurrana's debut is effortlessly charming. Shoojit Sircar turns a taboo topic into a crowd-pleasing, heartwarming film.",positive,87
Himmatwala Remake,"Sajid Khan takes everything that was fun about the original and replaces it with crude jokes and loud performances. Tiger Shroff's debut energy can't rescue a script that has nothing interesting to say.",negative,11
Super 30,"Hrithik Roshan tries hard in this biographical drama about mathematician Anand Kumar. The social message is important, but the execution is middling — the brown-face makeup is distracting and the drama feels manufactured.",negative,30
Dil Dhadakne Do,"Zoya Akhtar perfectly captures the dysfunction of a wealthy Punjabi family on a cruise. The ensemble cast is stellar, and the narration by the family dog is an inspired choice. Entertaining and perceptive in equal measure.",positive,88
Gold,"Akshay Kumar in India's first Olympic gold medal story. The patriotic moments land, but the second act drags, and the supporting characters are one-dimensional. Well-intentioned but only intermittently engaging.",negative,35
Stree,"A horror comedy that actually nails both genres. The Chanderi setting is atmospheric, Rajkummar Rao's comic timing is impeccable, and the feminist undertones add unexpected depth. A surprise blockbuster for good reason.",positive,87
Genius,"Utkarsh Sharma as an IQ-level genius spy who's also a romantic hero. The film is neither intelligent nor entertaining. The action is poorly choreographed and the love story is painfully awkward.",negative,8
Pad Man,"Akshay Kumar plays the real-life inventor of low-cost sanitary pads. The first half is inventive and touching, though the second half shifts to a broader, less convincing tone. Still, the subject matter alone makes it worthwhile.",positive,78
Kill,"An adrenaline-fueled action film set entirely on a train. The fight choreography is world-class and the emotional stakes are real. Lakshya is a revelation. India's answer to The Raid — brutal, stylish, and unforgettable.",positive,91
Shamshera,"Ranbir Kapoor in a dacoit drama that never finds its identity. Is it a period epic? A revenge saga? A comedy? The film doesn't know, and neither does the audience. A massive disappointment.",negative,18
Chhichhore,"Nitesh Tiwari follows up Dangal with a heartfelt story about college friendships and academic pressure. The message about failure is timely and important. The ensemble cast brings genuine warmth to every scene.",positive,85
Bade Miyan Chote Miyan 2024,"Akshay Kumar and Tiger Shroff in an action comedy that's loud, long, and lacking in laughs. The buddy dynamic feels forced, the VFX is dodgy, and the runtime is punishing at over two hours.",negative,12
12th Fail,"Vidhu Vinod Chopra returns to form with this deeply moving story of a small-town boy's UPSC journey. Vikrant Massey is outstanding. No melodrama, no shortcuts — just honest storytelling that rewards patient viewers.",positive,94
Dhoom 3,"Aamir Khan as a circus performer-turned-bank robber. The stunts are over-the-top, the twist is predictable, and the emotional backstory feels tacked on. The franchise peaked at Dhoom 2 and this confirms it.",negative,25
Jazbaa,"Aishwarya Rai's comeback vehicle is a tense premise — a lawyer must free a criminal to save her kidnapped daughter — undone by clunky execution. Sanjay Gupta's direction lacks finesse and the courtroom scenes are unconvincing.",negative,22
Talvar,"Based on the Aarushi Talwar case, this is a gripping procedural thriller. Irrfan Khan is superb as the investigating officer. Meghna Gulzar presents multiple perspectives without judgment, letting the audience draw their own conclusions.",positive,89
Saaho,"Prabhas's Bollywood debut is a bloated, incoherent action spectacle. The plot about a mysterious box makes no sense, the runtime is excessive, and even the expensive action sequences can't compensate for the empty storytelling.",negative,15
Rascals,"Ajay Devgn and Sanjay Dutt in a comedy so unfunny it feels like a prank on the audience. The Sri Lankan setting is wasted, the con-artist plot is tedious, and every joke crashes and burns.",negative,7
Mr. Joe B. Carvalho,"Arshad Warsi deserves better than this detective spoof. The jokes are recycled, the mystery is nonexistent, and the slapstick is so lazy it borders on contempt for the audience. Utterly disposable.",negative,10
Mimi,"Kriti Sanon delivers a powerful performance as a surrogate mother. The film handles a sensitive subject with both humor and heart, though the third act veers into melodrama. Still, a strong showcase for its lead actress.",positive,82
Hungama 2,"The original Hungama had Priyadarshan's comic timing. This sequel has none of it. Shilpa Shetty and Paresh Rawal try their best, but the jokes are outdated, the plot is recycled, and the film is a chore.",negative,14
Uri: The Surgical Strike,"How's the josh? Very high. Vicky Kaushal is commanding in this patriotic action film. The military operations are shot with precision and intensity. It's jingoistic at times, but it's effective and thoroughly entertaining.",positive,86
Aisha,"A Bollywood adaptation of Emma that never captures Austen's wit. Sonam Kapoor looks gorgeous but the Delhi socialite setting feels hollow. The romantic subplot is unconvincing and the comedy is surface-level at best.",negative,25
Judwaa 2,"Varun Dhawan in a double role that Salman Khan made famous. The nostalgia factor carries it for about 30 minutes before the tired gags and objectifying humor take over. A sequel that should have stayed in the 90s.",negative,20
